station,latitude(deg),longitude(deg),altitude(m),year,month,day,GHI(MJ/m2),DHI(MJ/m2)
58150,33.75,120.3,3,1970,1,1,9.851,4.575
58150,33.75,120.3,3,1970,1,2,2.43,2.856
58150,33.75,120.3,3,1970,1,3,3.483,2.862
58150,33.75,120.3,3,1970,1,4,3.729,2.874
58150,33.75,120.3,3,1970,1,5,11.01,3.406
58150,33.75,120.3,3,1970,1,6,3.702,2.898
58150,33.75,120.3,3,1970,1,7,10.507,4.411
58150,33.75,120.3,3,1970,1,8,11.516,3.721
58150,33.75,120.3,3,1970,1,9,3.926,2.935
58150,33.75,120.3,3,1970,1,10,10.37,4.356
58150,33.75,120.3,3,1970,1,11,10.884,4.526
58150,33.75,120.3,3,1970,1,12,11.505,3.75
58150,33.75,120.3,3,1970,1,13,10.313,4.386
58150,33.75,120.3,3,1970,1,14,10.005,4.75
58150,33.75,120.3,3,1970,1,15,9.279,5.173
58150,33.75,120.3,3,1970,1,16,11.745,3.728
58150,33.75,120.3,3,1970,1,17,8.429,5.749
58150,33.75,120.3,3,1970,1,18,5.459,4.936
58150,33.75,120.3,3,1970,1,19,11.652,4.319
58150,33.75,120.3,3,1970,1,20,12.155,4.208
58150,33.75,120.3,3,1970,1,21,12.093,4.397
58150,33.75,120.3,3,1970,1,22,4.537,3.165
58150,33.75,120.3,3,1970,1,23,11.409,4.492
58150,33.75,120.3,3,1970,1,24,11.885,4.605
58150,33.75,120.3,3,1970,1,25,12.631,4.178
58150,33.75,120.3,3,1970,1,26,12.294,4.634
58150,33.75,120.3,3,1970,1,27,10.776,5.519
58150,33.75,120.3,3,1970,1,28,13.403,3.611
58150,33.75,120.3,3,1970,1,29,4.324,3.333
58150,33.75,120.3,3,1970,1,30,10.775,5.38
58150,33.75,120.3,3,1970,1,31,13.83,3.762
58150,33.75,120.3,3,1970,2,1,12.951,4.932
58150,33.75,120.3,3,1970,2,2,4.587,3.438
58150,33.75,120.3,3,1970,2,3,12.766,4.976
58150,33.75,120.3,3,1970,2,4,7.035,6.034
58150,33.75,120.3,3,1970,2,5,12.721,5.101
58150,33.75,120.3,3,1970,2,6,9.455,6.733
58150,33.75,120.3,3,1970,2,7,4.3,3.581
58150,33.75,120.3,3,1970,2,8,11.325,6.436
58150,33.75,120.3,3,1970,2,9,13.895,4.57
58150,33.75,120.3,3,1970,2,10,14.201,4.995
58150,33.75,120.3,3,1970,2,11,14.801,4.691
58150,33.75,120.3,3,1970,2,12,14.624,5.125
58150,33.75,120.3,3,1970,2,13,13.879,5.689
58150,33.75,120.3,3,1970,2,14,10.644,7.197
58150,33.75,120.3,3,1970,2,15,13.669,5.401
58150,33.75,120.3,3,1970,2,16,15.426,5.019
58150,33.75,120.3,3,1970,2,17,14.809,5.713
58150,33.75,120.3,3,1970,2,18,7.13,5.765
58150,33.75,120.3,3,1970,2,19,4.579,3.968
58150,33.75,120.3,3,1970,2,20,5.225,4.893
58150,33.75,120.3,3,1970,2,21,5.28,4.034
58150,33.75,120.3,3,1970,2,22,3.927,4.065
58150,33.75,120.3,3,1970,2,23,4.378,4.106
58150,33.75,120.3,3,1970,2,24,4.747,4.137
58150,33.75,120.3,3,1970,2,25,4.614,4.171
58150,33.75,120.3,3,1970,2,26,4.064,4.208
58150,33.75,120.3,3,1970,2,27,3.936,4.242
58150,33.75,120.3,3,1970,2,28,14.711,6.59
58150,33.75,120.3,3,1970,3,1,14.654,7.125
58150,33.75,120.3,3,1970,3,2,4.2,4.348
58150,33.75,120.3,3,1970,3,3,5.119,4.388
58150,33.75,120.3,3,1970,3,4,15.971,5.9
58150,33.75,120.3,3,1970,3,5,12.645,8.333
58150,33.75,120.3,3,1970,3,6,11.68,8.511
58150,33.75,120.3,3,1970,3,7,16.491,6.775
58150,33.75,120.3,3,1970,3,8,17.063,6.488
58150,33.75,120.3,3,1970,3,9,5.474,4.6
58150,33.75,120.3,3,1970,3,10,7.333,6.938
58150,33.75,120.3,3,1970,3,11,12.966,8.709
58150,33.75,120.3,3,1970,3,12,4.547,4.708
58150,33.75,120.3,3,1970,3,13,16.602,6.81
58150,33.75,120.3,3,1970,3,14,11.654,8.996
58150,33.75,120.3,3,1970,3,15,5.293,4.818
58150,33.75,120.3,3,1970,3,16,18.168,6.419
58150,33.75,120.3,3,1970,3,17,14.704,8.99
58150,33.75,120.3,3,1970,3,18,18.798,5.932
58150,33.75,120.3,3,1970,3,19,18.197,7.356
58150,33.75,120.3,3,1970,3,20,16.196,8.56
58150,33.75,120.3,3,1970,3,21,9.676,8.459
58150,33.75,120.3,3,1970,3,22,16.326,8.365
58150,33.75,120.3,3,1970,3,23,20.447,6.329
58150,33.75,120.3,3,1970,3,24,10.313,8.798
58150,33.75,120.3,3,1970,3,25,18.305,8.178
58150,33.75,120.3,3,1970,3,26,20.29,6.912
58150,33.75,120.3,3,1970,3,27,18.781,8.416
58150,33.75,120.3,3,1970,3,28,19.122,8.139
58150,33.75,120.3,3,1970,3,29,6.305,5.299
58150,33.75,120.3,3,1970,3,30,7.908,7.448
58150,33.75,120.3,3,1970,3,31,14.721,10.164
58150,33.75,120.3,3,1970,4,1,7.473,5.395
58150,33.75,120.3,3,1970,4,2,16.374,9.984
58150,33.75,120.3,3,1970,4,3,8.251,7.631
58150,33.75,120.3,3,1970,4,4,15.952,10.162
58150,33.75,120.3,3,1970,4,5,21.604,7.447
58150,33.75,120.3,3,1970,4,6,8.477,6.796
58150,33.75,120.3,3,1970,4,7,17.028,10.162
58150,33.75,120.3,3,1970,4,8,10.219,9.029
58150,33.75,120.3,3,1970,4,9,10.31,9.295
58150,33.75,120.3,3,1970,4,10,10.873,9.932
58150,33.75,120.3,3,1970,4,11,6.812,5.698
58150,33.75,120.3,3,1970,4,12,21.224,8.58
58150,33.75,120.3,3,1970,4,13,21.97,8.329
58150,33.75,120.3,3,1970,4,14,23.011,7.263
58150,33.75,120.3,3,1970,4,15,22.902,7.796
58150,33.75,120.3,3,1970,4,16,18.201,10.672
58150,33.75,120.3,3,1970,4,17,6.098,5.866
58150,33.75,120.3,3,1970,4,18,20.695,9.153
58150,33.75,120.3,3,1970,4,19,6.756,5.921
58150,33.75,120.3,3,1970,4,20,23.923,7.685
58150,33.75,120.3,3,1970,4,21,22.248,7.972
58150,33.75,120.3,3,1970,4,22,13.25,11.201
58150,33.75,120.3,3,1970,4,23,4.496,6.018
58150,33.75,120.3,3,1970,4,24,18.382,10.916
58150,33.75,120.3,3,1970,4,25,17.773,11.304
58150,33.75,120.3,3,1970,4,26,18.138,10.851
58150,33.75,120.3,3,1970,4,27,21.845,9.341
58150,33.75,120.3,3,1970,4,28,22.416,9.289
58150,33.75,120.3,3,1970,4,29,25.082,6.882
58150,33.75,120.3,3,1970,4,30,24.98,7.327
58150,33.75,120.3,3,1970,5,1,8.433,6.198
58150,33.75,120.3,3,1970,5,2,7.491,7.371
58150,33.75,120.3,3,1970,5,3,8.094,6.239
58150,33.75,120.3,3,1970,5,4,17.501,11.77
58150,33.75,120.3,3,1970,5,5,6.463,6.275
58150,33.75,120.3,3,1970,5,6,9.555,8.751
58150,33.75,120.3,3,1970,5,7,23.826,8.702
58150,33.75,120.3,3,1970,5,8,16.018,11.983
58150,33.75,120.3,3,1970,5,9,6.537,6.346
58150,33.75,120.3,3,1970,5,10,14.358,11.865
58150,33.75,120.3,3,1970,5,11,24.305,8.873
58150,33.75,120.3,3,1970,5,12,18.809,11.405
58150,33.75,120.3,3,1970,5,13,25.869,6.965
