station,latitude(deg),longitude(deg),altitude(m),year,month,day,GHI(MJ/m2),DHI(MJ/m2)
57510,29.85,106.0666667,327.5,1970,1,1,1.212,3.528
57510,29.85,106.0666667,327.5,1970,1,2,2.943,3.541
57510,29.85,106.0666667,327.5,1970,1,3,2.141,3.547
57510,29.85,106.0666667,327.5,1970,1,4,2.514,3.56
57510,29.85,106.0666667,327.5,1970,1,5,3.541,3.572
57510,29.85,106.0666667,327.5,1970,1,6,2.357,3.585
57510,29.85,106.0666667,327.5,1970,1,7,10.277,5.356
57510,29.85,106.0666667,327.5,1970,1,8,1.128,3.611
57510,29.85,106.0666667,327.5,1970,1,9,1.352,3.624
57510,29.85,106.0666667,327.5,1970,1,10,8.055,5.785
57510,29.85,106.0666667,327.5,1970,1,11,12.397,4.835
57510,29.85,106.0666667,327.5,1970,1,12,3.261,3.665
57510,29.85,106.0666667,327.5,1970,1,13,2.544,3.684
57510,29.85,106.0666667,327.5,1970,1,14,8.791,5.954
57510,29.85,106.0666667,327.5,1970,1,15,3.546,3.722
57510,29.85,106.0666667,327.5,1970,1,16,7.436,6.037
57510,29.85,106.0666667,327.5,1970,1,17,1.608,3.76
57510,29.85,106.0666667,327.5,1970,1,18,11.311,5.255
57510,29.85,106.0666667,327.5,1970,1,19,10.242,6.068
57510,29.85,106.0666667,327.5,1970,1,20,9.543,6.12
57510,29.85,106.0666667,327.5,1970,1,21,3.664,3.845
57510,29.85,106.0666667,327.5,1970,1,22,1.934,3.864
57510,29.85,106.0666667,327.5,1970,1,23,2.031,3.886
57510,29.85,106.0666667,327.5,1970,1,24,1.222,3.911
57510,29.85,106.0666667,327.5,1970,1,25,2.78,3.936
57510,29.85,106.0666667,327.5,1970,1,26,2.604,3.961
57510,29.85,106.0666667,327.5,1970,1,27,1.486,3.982
57510,29.85,106.0666667,327.5,1970,1,28,0.828,4.007
57510,29.85,106.0666667,327.5,1970,1,29,11.707,5.92
57510,29.85,106.0666667,327.5,1970,1,30,13.909,4.987
57510,29.85,106.0666667,327.5,1970,1,31,10.881,6.601
57510,29.85,106.0666667,327.5,1970,2,1,2.485,4.116
57510,29.85,106.0666667,327.5,1970,2,2,0.857,4.147
57510,29.85,106.0666667,327.5,1970,2,3,1.559,4.178
57510,29.85,106.0666667,327.5,1970,2,4,3.098,4.205
57510,29.85,106.0666667,327.5,1970,2,5,5.505,5.126
57510,29.85,106.0666667,327.5,1970,2,6,2.495,4.267
57510,29.85,106.0666667,327.5,1970,2,7,5.851,5.391
57510,29.85,106.0666667,327.5,1970,2,8,6.079,4.693
57510,29.85,106.0666667,327.5,1970,2,9,1.863,4.357
57510,29.85,106.0666667,327.5,1970,2,10,7.665,6.407
57510,29.85,106.0666667,327.5,1970,2,11,14.253,6.1
57510,29.85,106.0666667,327.5,1970,2,12,15.395,5.285
57510,29.85,106.0666667,327.5,1970,2,13,5.443,4.869
57510,29.85,106.0666667,327.5,1970,2,14,4.841,5.005
57510,29.85,106.0666667,327.5,1970,2,15,13.419,6.746
57510,29.85,106.0666667,327.5,1970,2,16,15.598,5.575
57510,29.85,106.0666667,327.5,1970,2,17,3.78,4.617
57510,29.85,106.0666667,327.5,1970,2,18,14.789,6.556
57510,29.85,106.0666667,327.5,1970,2,19,4.468,4.689
57510,29.85,106.0666667,327.5,1970,2,20,3.803,4.72
57510,29.85,106.0666667,327.5,1970,2,21,3.359,4.756
57510,29.85,106.0666667,327.5,1970,2,22,3.305,4.786
57510,29.85,106.0666667,327.5,1970,2,23,5.944,5.706
57510,29.85,106.0666667,327.5,1970,2,24,6.184,5.742
57510,29.85,106.0666667,327.5,1970,2,25,11.722,7.869
57510,29.85,106.0666667,327.5,1970,2,26,4.158,4.93
57510,29.85,106.0666667,327.5,1970,2,27,2.37,4.965
57510,29.85,106.0666667,327.5,1970,2,28,5.669,5.398
57510,29.85,106.0666667,327.5,1970,3,1,2.844,5.035
57510,29.85,106.0666667,327.5,1970,3,2,9.692,7.692
57510,29.85,106.0666667,327.5,1970,3,3,4.372,5.111
57510,29.85,106.0666667,327.5,1970,3,4,3.005,5.14
57510,29.85,106.0666667,327.5,1970,3,5,2.708,5.18
57510,29.85,106.0666667,327.5,1970,3,6,3.244,5.214
57510,29.85,106.0666667,327.5,1970,3,7,8.806,7.275
57510,29.85,106.0666667,327.5,1970,3,8,16.222,7.653
57510,29.85,106.0666667,327.5,1970,3,9,5.555,5.321
57510,29.85,106.0666667,327.5,1970,3,10,8.027,6.936
57510,29.85,106.0666667,327.5,1970,3,11,4.613,5.393
57510,29.85,106.0666667,327.5,1970,3,12,4.705,5.426
57510,29.85,106.0666667,327.5,1970,3,13,4.182,5.465
57510,29.85,106.0666667,327.5,1970,3,14,2.992,5.498
57510,29.85,106.0666667,327.5,1970,3,15,10.483,7.8
57510,29.85,106.0666667,327.5,1970,3,16,4.486,5.568
57510,29.85,106.0666667,327.5,1970,3,17,2.93,5.605
57510,29.85,106.0666667,327.5,1970,3,18,8.368,7.078
57510,29.85,106.0666667,327.5,1970,3,19,4.568,5.669
57510,29.85,106.0666667,327.5,1970,3,20,3.222,5.706
57510,29.85,106.0666667,327.5,1970,3,21,3.672,5.737
57510,29.85,106.0666667,327.5,1970,3,22,3.485,5.773
57510,29.85,106.0666667,327.5,1970,3,23,4.522,5.804
57510,29.85,106.0666667,327.5,1970,3,24,8.992,7.432
57510,29.85,106.0666667,327.5,1970,3,25,7.284,7.437
57510,29.85,106.0666667,327.5,1970,3,26,19.778,7.583
57510,29.85,106.0666667,327.5,1970,3,27,4.955,6.104
57510,29.85,106.0666667,327.5,1970,3,28,18.411,8.574
57510,29.85,106.0666667,327.5,1970,3,29,5.469,5.999
57510,29.85,106.0666667,327.5,1970,3,30,3.017,6.028
57510,29.85,106.0666667,327.5,1970,3,31,2.083,6.063
57510,29.85,106.0666667,327.5,1970,4,1,14.201,9.829
57510,29.85,106.0666667,327.5,1970,4,2,21.878,7.134
57510,29.85,106.0666667,327.5,1970,4,3,19.904,7.831
57510,29.85,106.0666667,327.5,1970,4,4,15.134,9.938
57510,29.85,106.0666667,327.5,1970,4,5,12.971,9.144
57510,29.85,106.0666667,327.5,1970,4,6,15.608,9.999
57510,29.85,106.0666667,327.5,1970,4,7,5.132,6.269
57510,29.85,106.0666667,327.5,1970,4,8,9.348,8.657
57510,29.85,106.0666667,327.5,1970,4,9,15.823,10.176
57510,29.85,106.0666667,327.5,1970,4,10,11.604,9.524
57510,29.85,106.0666667,327.5,1970,4,11,8.742,6.991
57510,29.85,106.0666667,327.5,1970,4,12,19.148,9.174
57510,29.85,106.0666667,327.5,1970,4,13,22.409,7.633
57510,29.85,106.0666667,327.5,1970,4,14,22.261,8.331
57510,29.85,106.0666667,327.5,1970,4,15,19.529,9.903
57510,29.85,106.0666667,327.5,1970,4,16,17.11,10.321
57510,29.85,106.0666667,327.5,1970,4,17,10.386,8.942
57510,29.85,106.0666667,327.5,1970,4,18,6.559,6.557
57510,29.85,106.0666667,327.5,1970,4,19,17.528,10.394
57510,29.85,106.0666667,327.5,1970,4,20,19.638,9.909
57510,29.85,106.0666667,327.5,1970,4,21,6.442,6.625
57510,29.85,106.0666667,327.5,1970,4,22,15.406,10.645
57510,29.85,106.0666667,327.5,1970,4,23,21.605,9.018
57510,29.85,106.0666667,327.5,1970,4,24,11.803,9.043
57510,29.85,106.0666667,327.5,1970,4,25,8.89,7.17
57510,29.85,106.0666667,327.5,1970,4,26,10.3,9.789
57510,29.85,106.0666667,327.5,1970,4,27,23.287,7.983
57510,29.85,106.0666667,327.5,1970,4,28,4.332,6.768
57510,29.85,106.0666667,327.5,1970,4,29,7.28,7.719
57510,29.85,106.0666667,327.5,1970,4,30,2.731,6.809
57510,29.85,106.0666667,327.5,1970,5,1,16.177,10.981
57510,29.85,106.0666667,327.5,1970,5,2,12.793,10.613
57510,29.85,106.0666667,327.5,1970,5,3,13.372,10.455
57510,29.85,106.0666667,327.5,1970,5,4,20.534,10.044
57510,29.85,106.0666667,327.5,1970,5,5,21.722,9.484
57510,29.85,106.0666667,327.5,1970,5,6,13.871,10.011
57510,29.85,106.0666667,327.5,1970,5,7,9.382,7.992
57510,29.85,106.0666667,327.5,1970,5,8,5.854,6.941
57510,29.85,106.0666667,327.5,1970,5,9,NaN,NaN
57510,29.85,106.0666667,327.5,1970,5,10,20.862,10.586
