station,latitude(deg),longitude(deg),altitude(m),year,month,day,GHI(MJ/m2),DHI(MJ/m2)
56387,29.23333333,103.2666667,643.4,1970,1,1,3.294,3.613
56387,29.23333333,103.2666667,643.4,1970,1,2,10.852,5.459
56387,29.23333333,103.2666667,643.4,1970,1,3,2.676,3.632
56387,29.23333333,103.2666667,643.4,1970,1,4,2.63,3.645
56387,29.23333333,103.2666667,643.4,1970,1,5,3.849,3.657
56387,29.23333333,103.2666667,643.4,1970,1,6,3.004,3.67
56387,29.23333333,103.2666667,643.4,1970,1,7,10.944,5.357
56387,29.23333333,103.2666667,643.4,1970,1,8,9.17,5.942
56387,29.23333333,103.2666667,643.4,1970,1,9,2.732,3.708
56387,29.23333333,103.2666667,643.4,1970,1,10,8.446,5.941
56387,29.23333333,103.2666667,643.4,1970,1,11,11.897,5.201
56387,29.23333333,103.2666667,643.4,1970,1,12,2.648,3.749
56387,29.23333333,103.2666667,643.4,1970,1,13,8.616,6.037
56387,29.23333333,103.2666667,643.4,1970,1,14,3.051,3.786
56387,29.23333333,103.2666667,643.4,1970,1,15,2.071,3.805
56387,29.23333333,103.2666667,643.4,1970,1,16,1.427,3.824
56387,29.23333333,103.2666667,643.4,1970,1,17,2.009,3.843
56387,29.23333333,103.2666667,643.4,1970,1,18,3.598,3.858
56387,29.23333333,103.2666667,643.4,1970,1,19,3.661,3.883
56387,29.23333333,103.2666667,643.4,1970,1,20,3.472,3.902
56387,29.23333333,103.2666667,643.4,1970,1,21,2.648,3.927
56387,29.23333333,103.2666667,643.4,1970,1,22,1.975,3.946
56387,29.23333333,103.2666667,643.4,1970,1,23,3.144,3.967
56387,29.23333333,103.2666667,643.4,1970,1,24,2.334,3.992
56387,29.23333333,103.2666667,643.4,1970,1,25,4.16,4.017
56387,29.23333333,103.2666667,643.4,1970,1,26,3.359,4.042
56387,29.23333333,103.2666667,643.4,1970,1,27,2.453,4.063
56387,29.23333333,103.2666667,643.4,1970,1,28,2.308,4.087
56387,29.23333333,103.2666667,643.4,1970,1,29,7.47,5.733
56387,29.23333333,103.2666667,643.4,1970,1,30,13.752,5.438
56387,29.23333333,103.2666667,643.4,1970,1,31,3.36,4.17
56387,29.23333333,103.2666667,643.4,1970,2,1,3.38,4.195
56387,29.23333333,103.2666667,643.4,1970,2,2,4.339,4.225
56387,29.23333333,103.2666667,643.4,1970,2,3,3.691,4.256
56387,29.23333333,103.2666667,643.4,1970,2,4,8.652,6.594
56387,29.23333333,103.2666667,643.4,1970,2,5,3.419,4.313
56387,29.23333333,103.2666667,643.4,1970,2,6,2.703,4.344
56387,29.23333333,103.2666667,643.4,1970,2,7,3.839,4.37
56387,29.23333333,103.2666667,643.4,1970,2,8,4.012,4.4
56387,29.23333333,103.2666667,643.4,1970,2,9,3.329,4.432
56387,29.23333333,103.2666667,643.4,1970,2,10,4.02,4.462
56387,29.23333333,103.2666667,643.4,1970,2,11,5.008,4.493
56387,29.23333333,103.2666667,643.4,1970,2,12,13.651,6.889
56387,29.23333333,103.2666667,643.4,1970,2,13,3.426,4.56
56387,29.23333333,103.2666667,643.4,1970,2,14,10.294,7.224
56387,29.23333333,103.2666667,643.4,1970,2,15,9.478,6.958
56387,29.23333333,103.2666667,643.4,1970,2,16,14.726,6.641
56387,29.23333333,103.2666667,643.4,1970,2,17,4.894,4.688
56387,29.23333333,103.2666667,643.4,1970,2,18,14.975,6.656
56387,29.23333333,103.2666667,643.4,1970,2,19,4.672,4.759
56387,29.23333333,103.2666667,643.4,1970,2,20,4.262,4.789
56387,29.23333333,103.2666667,643.4,1970,2,21,2.415,4.824
56387,29.23333333,103.2666667,643.4,1970,2,22,4.812,4.855
56387,29.23333333,103.2666667,643.4,1970,2,23,4.515,4.895
56387,29.23333333,103.2666667,643.4,1970,2,24,2.879,4.925
56387,29.23333333,103.2666667,643.4,1970,2,25,2.699,4.96
56387,29.23333333,103.2666667,643.4,1970,2,26,4.089,4.995
56387,29.23333333,103.2666667,643.4,1970,2,27,2.737,5.029
56387,29.23333333,103.2666667,643.4,1970,2,28,5.492,5.064
56387,29.23333333,103.2666667,643.4,1970,3,1,5.006,5.098
56387,29.23333333,103.2666667,643.4,1970,3,2,11.909,8.224
56387,29.23333333,103.2666667,643.4,1970,3,3,5.266,5.172
56387,29.23333333,103.2666667,643.4,1970,3,4,3.14,5.201
56387,29.23333333,103.2666667,643.4,1970,3,5,4.222,5.24
56387,29.23333333,103.2666667,643.4,1970,3,6,3.885,5.273
56387,29.23333333,103.2666667,643.4,1970,3,7,11.684,8.02
56387,29.23333333,103.2666667,643.4,1970,3,8,17.868,7.251
56387,29.23333333,103.2666667,643.4,1970,3,9,4.04,5.378
56387,29.23333333,103.2666667,643.4,1970,3,10,5.738,5.411
56387,29.23333333,103.2666667,643.4,1970,3,11,3.674,5.449
56387,29.23333333,103.2666667,643.4,1970,3,12,3.309,5.481
56387,29.23333333,103.2666667,643.4,1970,3,13,4.145,5.518
56387,29.23333333,103.2666667,643.4,1970,3,14,4.006,5.55
56387,29.23333333,103.2666667,643.4,1970,3,15,3.947,5.587
56387,29.23333333,103.2666667,643.4,1970,3,16,8.9,7.47
56387,29.23333333,103.2666667,643.4,1970,3,17,2.831,5.656
56387,29.23333333,103.2666667,643.4,1970,3,18,13.869,9.111
56387,29.23333333,103.2666667,643.4,1970,3,19,7.21,6.302
56387,29.23333333,103.2666667,643.4,1970,3,20,4.852,5.753
56387,29.23333333,103.2666667,643.4,1970,3,21,3.023,5.783
56387,29.23333333,103.2666667,643.4,1970,3,22,4.689,5.819
56387,29.23333333,103.2666667,643.4,1970,3,23,9.268,7.311
56387,29.23333333,103.2666667,643.4,1970,3,24,5.236,5.884
56387,29.23333333,103.2666667,643.4,1970,3,25,9.852,7.727
56387,29.23333333,103.2666667,643.4,1970,3,26,14.111,9.597
56387,29.23333333,103.2666667,643.4,1970,3,27,10.466,8.014
56387,29.23333333,103.2666667,643.4,1970,3,28,15.214,9.621
56387,29.23333333,103.2666667,643.4,1970,3,29,4.786,6.039
56387,29.23333333,103.2666667,643.4,1970,3,30,2.896,6.066
56387,29.23333333,103.2666667,643.4,1970,3,31,3.189,6.1
56387,29.23333333,103.2666667,643.4,1970,4,1,5.016,6.127
56387,29.23333333,103.2666667,643.4,1970,4,2,21.494,7.806
56387,29.23333333,103.2666667,643.4,1970,4,3,8.941,6.785
56387,29.23333333,103.2666667,643.4,1970,4,4,4.668,6.214
56387,29.23333333,103.2666667,643.4,1970,4,5,15.279,9.937
56387,29.23333333,103.2666667,643.4,1970,4,6,5.976,6.272
56387,29.23333333,103.2666667,643.4,1970,4,7,4.142,6.3
56387,29.23333333,103.2666667,643.4,1970,4,8,13.022,9.344
56387,29.23333333,103.2666667,643.4,1970,4,9,15.675,10.221
56387,29.23333333,103.2666667,643.4,1970,4,10,4.79,6.377
56387,29.23333333,103.2666667,643.4,1970,4,11,6.737,6.402
56387,29.23333333,103.2666667,643.4,1970,4,12,17.731,10.161
56387,29.23333333,103.2666667,643.4,1970,4,13,20.763,8.945
56387,29.23333333,103.2666667,643.4,1970,4,14,7.927,6.814
56387,29.23333333,103.2666667,643.4,1970,4,15,6.899,6.65
56387,29.23333333,103.2666667,643.4,1970,4,16,20.935,9.501
