station,latitude(deg),longitude(deg),altitude(m),year,month,day,GHI(MJ/m2),DHI(MJ/m2)
58477,30.03333333,122.1,36.7,1970,1,1,12.429,3.868
58477,30.03333333,122.1,36.7,1970,1,2,5.995,4.843
58477,30.03333333,122.1,36.7,1970,1,3,2.543,3.007
58477,30.03333333,122.1,36.7,1970,1,4,3.214,3.018
58477,30.03333333,122.1,36.7,1970,1,5,5.102,4.302
58477,30.03333333,122.1,36.7,1970,1,6,2.121,3.04
58477,30.03333333,122.1,36.7,1970,1,7,10.762,5.085
58477,30.03333333,122.1,36.7,1970,1,8,12.246,3.94
58477,30.03333333,122.1,36.7,1970,1,9,2.397,3.073
58477,30.03333333,122.1,36.7,1970,1,10,11.523,4.564
58477,30.03333333,122.1,36.7,1970,1,11,12.915,4.006
58477,30.03333333,122.1,36.7,1970,1,12,13.391,3.833
58477,30.03333333,122.1,36.7,1970,1,13,2.716,3.124
58477,30.03333333,122.1,36.7,1970,1,14,2.781,3.141
58477,30.03333333,122.1,36.7,1970,1,15,10.936,5.156
58477,30.03333333,122.1,36.7,1970,1,16,12.316,4.485
58477,30.03333333,122.1,36.7,1970,1,17,8.063,5.868
58477,30.03333333,122.1,36.7,1970,1,18,5.689,4.889
58477,30.03333333,122.1,36.7,1970,1,19,12.713,4.256
58477,30.03333333,122.1,36.7,1970,1,20,13.247,4.212
58477,30.03333333,122.1,36.7,1970,1,21,13.746,4.11
58477,30.03333333,122.1,36.7,1970,1,22,10.202,6.163
58477,30.03333333,122.1,36.7,1970,1,23,5.208,4.329
58477,30.03333333,122.1,36.7,1970,1,24,10.578,6.039
58477,30.03333333,122.1,36.7,1970,1,25,9.029,6.256
58477,30.03333333,122.1,36.7,1970,1,26,14.361,3.944
58477,30.03333333,122.1,36.7,1970,1,27,2.358,3.379
58477,30.03333333,122.1,36.7,1970,1,28,9.311,6.416
58477,30.03333333,122.1,36.7,1970,1,29,2.98,3.428
58477,30.03333333,122.1,36.7,1970,1,30,4.292,3.748
58477,30.03333333,122.1,36.7,1970,1,31,14.338,3.981
58477,30.03333333,122.1,36.7,1970,2,1,13.696,5.357
58477,30.03333333,122.1,36.7,1970,2,2,4.567,3.966
58477,30.03333333,122.1,36.7,1970,2,3,2.825,3.547
58477,30.03333333,122.1,36.7,1970,2,4,8.083,6.211
58477,30.03333333,122.1,36.7,1970,2,5,15.026,4.291
58477,30.03333333,122.1,36.7,1970,2,6,12.658,6.4
58477,30.03333333,122.1,36.7,1970,2,7,4.502,3.937
58477,30.03333333,122.1,36.7,1970,2,8,4.554,4.259
58477,30.03333333,122.1,36.7,1970,2,9,15.541,4.341
58477,30.03333333,122.1,36.7,1970,2,10,10.361,6.979
58477,30.03333333,122.1,36.7,1970,2,11,16.198,4.277
58477,30.03333333,122.1,36.7,1970,2,12,16.473,4.334
58477,30.03333333,122.1,36.7,1970,2,13,16.741,4.395
58477,30.03333333,122.1,36.7,1970,2,14,16.62,4.348
58477,30.03333333,122.1,36.7,1970,2,15,3.983,3.864
58477,30.03333333,122.1,36.7,1970,2,16,16.829,4.544
58477,30.03333333,122.1,36.7,1970,2,17,17.037,4.419
58477,30.03333333,122.1,36.7,1970,2,18,16.822,4.822
58477,30.03333333,122.1,36.7,1970,2,19,4.627,4.302
58477,30.03333333,122.1,36.7,1970,2,20,4.195,4.01
58477,30.03333333,122.1,36.7,1970,2,21,4.027,4.041
58477,30.03333333,122.1,36.7,1970,2,22,3.331,4.067
58477,30.03333333,122.1,36.7,1970,2,23,3.589,4.102
58477,30.03333333,122.1,36.7,1970,2,24,10.707,7.541
58477,30.03333333,122.1,36.7,1970,2,25,5.752,4.658
58477,30.03333333,122.1,36.7,1970,2,26,3.193,4.19
58477,30.03333333,122.1,36.7,1970,2,27,3.291,4.219
58477,30.03333333,122.1,36.7,1970,2,28,13.216,7.593
58477,30.03333333,122.1,36.7,1970,3,1,16.656,6.476
58477,30.03333333,122.1,36.7,1970,3,2,3.56,4.31
58477,30.03333333,122.1,36.7,1970,3,3,3.27,4.344
58477,30.03333333,122.1,36.7,1970,3,4,7.078,6.379
58477,30.03333333,122.1,36.7,1970,3,5,3.666,4.403
58477,30.03333333,122.1,36.7,1970,3,6,4.113,4.433
58477,30.03333333,122.1,36.7,1970,3,7,3.879,4.462
58477,30.03333333,122.1,36.7,1970,3,8,13.737,8.443
58477,30.03333333,122.1,36.7,1970,3,9,6.247,5.369
58477,30.03333333,122.1,36.7,1970,3,10,3.76,4.553
58477,30.03333333,122.1,36.7,1970,3,11,6.483,5.748
58477,30.03333333,122.1,36.7,1970,3,12,3.931,4.615
58477,30.03333333,122.1,36.7,1970,3,13,4.208,4.647
58477,30.03333333,122.1,36.7,1970,3,14,3.52,4.676
58477,30.03333333,122.1,36.7,1970,3,15,3.888,4.708
58477,30.03333333,122.1,36.7,1970,3,16,17.924,7.356
58477,30.03333333,122.1,36.7,1970,3,17,11.082,8.392
58477,30.03333333,122.1,36.7,1970,3,18,18.116,7.481
58477,30.03333333,122.1,36.7,1970,3,19,19.581,6.237
58477,30.03333333,122.1,36.7,1970,3,20,4.462,4.854
58477,30.03333333,122.1,36.7,1970,3,21,3.674,4.88
58477,30.03333333,122.1,36.7,1970,3,22,16.606,8.514
58477,30.03333333,122.1,36.7,1970,3,23,19.196,7.473
58477,30.03333333,122.1,36.7,1970,3,24,3.74,4.969
58477,30.03333333,122.1,36.7,1970,3,25,8.82,7.559
58477,30.03333333,122.1,36.7,1970,3,26,12.115,9.046
58477,30.03333333,122.1,36.7,1970,3,27,17.213,9.057
58477,30.03333333,122.1,36.7,1970,3,28,9.357,7.681
58477,30.03333333,122.1,36.7,1970,3,29,4.349,5.106
